Versao,Imagem,N_Threads,Repeticao,Tempo_IO_ms,Tempo_Comp_ms,Contador_Final
sequencial,testes/xadrez_512.pgm,1,1,0.348,0.047,131072
sequencial,testes/xadrez_512.pgm,1,2,0.285,0.037,131072
sequencial,testes/xadrez_512.pgm,1,3,0.248,0.037,131072
sequencial,testes/xadrez_1920.pgm,1,1,4.259,0.321,1036800
sequencial,testes/xadrez_1920.pgm,1,2,2.222,0.303,1036800
sequencial,testes/xadrez_1920.pgm,1,3,1.589,0.299,1036800
sequencial,testes/xadrez_4096.pgm,1,1,29.904,2.451,8388608
sequencial,testes/xadrez_4096.pgm,1,2,12.145,2.483,8388608
sequencial,testes/xadrez_4096.pgm,1,3,10.256,2.596,8388608
sequencial,testes/xadrez_8192.pgm,1,1,116.390,10.101,33554432
sequencial,testes/xadrez_8192.pgm,1,2,48.854,9.876,33554432
sequencial,testes/xadrez_8192.pgm,1,3,40.002,10.094,33554432
sequencial,testes/metade_4096.pgm,1,1,17.323,2.537,12582912
sequencial,testes/metade_4096.pgm,1,2,12.339,2.605,12582912
sequencial,testes/metade_4096.pgm,1,3,10.336,2.541,12582912
horizontal,testes/xadrez_512.pgm,1,1,0.325,0.218,131072
horizontal,testes/xadrez_512.pgm,1,2,0.271,0.169,131072
horizontal,testes/xadrez_512.pgm,1,3,0.270,0.170,131072
horizontal,testes/xadrez_512.pgm,2,1,0.269,0.266,131072
horizontal,testes/xadrez_512.pgm,2,2,0.359,0.246,131072
horizontal,testes/xadrez_512.pgm,2,3,0.375,0.266,131072
horizontal,testes/xadrez_512.pgm,4,1,0.281,0.350,131072
horizontal,testes/xadrez_512.pgm,4,2,0.325,0.353,131072
horizontal,testes/xadrez_512.pgm,4,3,0.279,0.490,131072
horizontal,testes/xadrez_512.pgm,8,1,0.290,0.622,131072
horizontal,testes/xadrez_512.pgm,8,2,0.259,0.618,131072
horizontal,testes/xadrez_512.pgm,8,3,0.278,0.666,131072
horizontal,testes/xadrez_512.pgm,12,1,0.267,0.995,131072
horizontal,testes/xadrez_512.pgm,12,2,0.290,1.022,131072
horizontal,testes/xadrez_512.pgm,12,3,0.269,0.957,131072
horizontal,testes/xadrez_512.pgm,16,1,0.270,1.295,131072
horizontal,testes/xadrez_512.pgm,16,2,0.327,1.361,131072
horizontal,testes/xadrez_512.pgm,16,3,0.269,1.434,131072
horizontal,testes/xadrez_1920.pgm,1,1,1.363,0.490,1036800
horizontal,testes/xadrez_1920.pgm,1,2,1.272,0.610,1036800
horizontal,testes/xadrez_1920.pgm,1,3,1.397,0.440,1036800
horizontal,testes/xadrez_1920.pgm,2,1,1.382,0.412,1036800
horizontal,testes/xadrez_1920.pgm,2,2,1.379,0.410,1036800
horizontal,testes/xadrez_1920.pgm,2,3,1.325,0.452,1036800
horizontal,testes/xadrez_1920.pgm,4,1,1.414,0.522,1036800
horizontal,testes/xadrez_1920.pgm,4,2,1.295,0.432,1036800
horizontal,testes/xadrez_1920.pgm,4,3,1.209,0.466,1036800
horizontal,testes/xadrez_1920.pgm,8,1,1.341,0.771,1036800
horizontal,testes/xadrez_1920.pgm,8,2,1.363,0.686,1036800
horizontal,testes/xadrez_1920.pgm,8,3,1.393,0.724,1036800
horizontal,testes/xadrez_1920.pgm,12,1,1.339,0.946,1036800
horizontal,testes/xadrez_1920.pgm,12,2,1.352,0.984,1036800
horizontal,testes/xadrez_1920.pgm,12,3,1.343,1.032,1036800
horizontal,testes/xadrez_1920.pgm,16,1,1.355,1.454,1036800
horizontal,testes/xadrez_1920.pgm,16,2,1.314,1.532,1036800
horizontal,testes/xadrez_1920.pgm,16,3,1.346,1.292,1036800
horizontal,testes/xadrez_4096.pgm,1,1,10.535,2.697,8388608
horizontal,testes/xadrez_4096.pgm,1,2,10.227,2.852,8388608
horizontal,testes/xadrez_4096.pgm,1,3,10.380,2.704,8388608
horizontal,testes/xadrez_4096.pgm,2,1,10.051,1.820,8388608
horizontal,testes/xadrez_4096.pgm,2,2,10.394,1.434,8388608
horizontal,testes/xadrez_4096.pgm,2,3,10.493,1.656,8388608
horizontal,testes/xadrez_4096.pgm,4,1,10.465,1.513,8388608
horizontal,testes/xadrez_4096.pgm,4,2,10.392,1.110,8388608
horizontal,testes/xadrez_4096.pgm,4,3,10.144,1.128,8388608
horizontal,testes/xadrez_4096.pgm,8,1,10.165,1.251,8388608
horizontal,testes/xadrez_4096.pgm,8,2,10.710,1.198,8388608
horizontal,testes/xadrez_4096.pgm,8,3,10.376,1.275,8388608
horizontal,testes/xadrez_4096.pgm,12,1,10.241,1.287,8388608
horizontal,testes/xadrez_4096.pgm,12,2,10.167,1.291,8388608
horizontal,testes/xadrez_4096.pgm,12,3,10.009,1.253,8388608
horizontal,testes/xadrez_4096.pgm,16,1,10.244,1.473,8388608
horizontal,testes/xadrez_4096.pgm,16,2,10.105,1.564,8388608
horizontal,testes/xadrez_4096.pgm,16,3,10.372,1.618,8388608
horizontal,testes/xadrez_8192.pgm,1,1,46.024,10.325,33554432
horizontal,testes/xadrez_8192.pgm,1,2,41.157,10.332,33554432
horizontal,testes/xadrez_8192.pgm,1,3,39.931,10.508,33554432
horizontal,testes/xadrez_8192.pgm,2,1,39.932,5.430,33554432
horizontal,testes/xadrez_8192.pgm,2,2,39.381,5.541,33554432
horizontal,testes/xadrez_8192.pgm,2,3,39.511,5.442,33554432
horizontal,testes/xadrez_8192.pgm,4,1,40.427,3.243,33554432
horizontal,testes/xadrez_8192.pgm,4,2,40.249,3.153,33554432
horizontal,testes/xadrez_8192.pgm,4,3,41.141,3.225,33554432
horizontal,testes/xadrez_8192.pgm,8,1,39.771,3.135,33554432
horizontal,testes/xadrez_8192.pgm,8,2,39.776,2.933,33554432
horizontal,testes/xadrez_8192.pgm,8,3,39.279,3.322,33554432
horizontal,testes/xadrez_8192.pgm,12,1,39.504,3.211,33554432
horizontal,testes/xadrez_8192.pgm,12,2,39.314,2.931,33554432
horizontal,testes/xadrez_8192.pgm,12,3,38.821,3.001,33554432
horizontal,testes/xadrez_8192.pgm,16,1,39.769,2.884,33554432
horizontal,testes/xadrez_8192.pgm,16,2,39.107,2.803,33554432
horizontal,testes/xadrez_8192.pgm,16,3,39.411,2.535,33554432
horizontal,testes/metade_4096.pgm,1,1,10.395,2.907,12582912
horizontal,testes/metade_4096.pgm,1,2,10.290,3.062,12582912
horizontal,testes/metade_4096.pgm,1,3,9.986,2.692,12582912
horizontal,testes/metade_4096.pgm,2,1,10.072,1.718,12582912
horizontal,testes/metade_4096.pgm,2,2,10.597,1.607,12582912
horizontal,testes/metade_4096.pgm,2,3,10.299,1.490,12582912
horizontal,testes/metade_4096.pgm,4,1,10.407,1.105,12582912
horizontal,testes/metade_4096.pgm,4,2,10.486,1.160,12582912
horizontal,testes/metade_4096.pgm,4,3,11.650,1.769,12582912
horizontal,testes/metade_4096.pgm,8,1,12.436,1.391,12582912
horizontal,testes/metade_4096.pgm,8,2,10.848,1.163,12582912
horizontal,testes/metade_4096.pgm,8,3,10.324,1.214,12582912
horizontal,testes/metade_4096.pgm,12,1,10.494,1.294,12582912
horizontal,testes/metade_4096.pgm,12,2,10.191,1.308,12582912
horizontal,testes/metade_4096.pgm,12,3,10.268,1.311,12582912
horizontal,testes/metade_4096.pgm,16,1,10.545,1.443,12582912
horizontal,testes/metade_4096.pgm,16,2,10.239,1.555,12582912
horizontal,testes/metade_4096.pgm,16,3,10.129,1.534,12582912
vertical,testes/xadrez_512.pgm,1,1,0.270,0.164,131072
vertical,testes/xadrez_512.pgm,1,2,0.290,0.194,131072
vertical,testes/xadrez_512.pgm,1,3,0.282,0.174,131072
vertical,testes/xadrez_512.pgm,2,1,0.277,0.213,131072
vertical,testes/xadrez_512.pgm,2,2,0.263,0.212,131072
vertical,testes/xadrez_512.pgm,2,3,0.321,0.240,131072
vertical,testes/xadrez_512.pgm,4,1,0.268,0.361,131072
